address,price,description,bedrooms,bathrooms,latitude,longitude,postcode,property_id
"Westmark Tower, London",5200,"Presenting a luxurious TWO BEDROOM apartment located in the upcoming Westmark Tower, W2. Set on the 15TH FLOOR, the property comprises a spacious OPEN PLAN living and kitchen area, one master bedroom with an en-suite, followed by another bedroom, second bathroom and PRIVATE BALCONY.",2,2,51.52078700000001,-0.17208,W2,3e0601e16bc2eb5304056fdb81ffc25a
"Wood Crescent, BBC Television Centre",3650,"A stunning two bedroom apartment situated within the award-winning BBC Television Centre development in White City. The apartment benefits from an open-plan living area, a contemporary kitchen design, two double bedrooms (one with an en-suite bathroom), a private balcony and a sleek family bathr...",2,2,51.5098238,-0.227274,W12,edd848c75c1fee12c291e3994e6be2b7
"Eccleston Square, London",2450,"A well located, large one bedroom lower ground floor, flat close to Victoria Station. Available from the beginning of March. OPEN TO PETS.",1,1,51.492252,-0.1445238,SW1V,81280ade578dd1f134dc88442e4fbf9e
"Loughborough Court, Shakespeare Rd, London",1875,Key features: - Communal Garden & BBQ - Co-working space & Resident Lounge - Onsite Community Curator - Exclusive discounts for Node Residents - Packages safely stored in lockers - Pet Friendly - Secured bicycle storage - Fully Equipped Kitche...,1,1,51.464116,-0.1025749,SE24,b68b85b514e8edf9e3a547703ac75aa8
"Coxwell Boulevard, Colindale",2400,"A well presented Two Double bedroom second floor apartment set within this modern purpose built block in this sought after Barratt Homes development on the borders of Mill Hill and Colindale, conveniently located approximately one mile from both Mill Hill Broadway Thameslink station and Colindale...",2,2,51.6039783,-0.2421234,NW9,5c63bc66136f382e758f14661d8416ce
"Masson House, Pump House Crescent, Brentford",2950,"A stunning two bedroom apartment in one of Brentford's premier developments, Kew Bridge West",2,2,51.4884755,-0.293828,TW8,3b91618318864e81e608a3aab6cd48e4
"Balfron Tower, 7 St Leonards Road, London,0UY",2280,"Located on the ground floor of Balfron Tower, this two bedroom apartment has well-proportioned rooms, underfloor heating and a private terrace with built-in planter and skyline views.",2,1,51.5136325,-0.0088074,E14,2fcade47c6c72d4b79615493ac115b97
Coldharbour Lane,2665,"A fantastic three double bedroom flat located in a secure mansion block in the heart of Brixton. This flat comprises of three lovely spacious double bedrooms, a beautifully designed open plan kitchen/living area with a stunning feature fireplace with exposed brickwork and a modern sleek family si...",3,1,51.4633745,-0.1066992,SW9,f623b21a09db3a813a02c732ce1a5468
"Bury Street, London",5525,"Perched on the fourth floor of a meticulously maintained building, with lift, this recently refurbished residence is the epitome of sophistication and comfort. Upon entering, you are greeted by a seamless blend of modern elegance and timeless charm.",2,1,51.5069109,-0.1385186,SW1Y,eb469b41dbb8bd5bfe01f607a32d9d3e
"Regents Park, London",1650,"ZONE 1 very nice 2 bed flat (2 lounges + 2 bathrooms + balcony + parking) 1-2 min walk to Regents Park - very nice, fully furnished 850 sq ft two bed flat (quiet bright top/2nd floor) with 2 loun... ** Property Reference: 2036209 **",1,2,51.52475430000001,-0.1608797,NW1,bca5d91ea7f74850f663be77e6ce012f
"Park Road, London",4312,"We are pleased to offer this 916 sq ft, second floor, 2 bedroom, 1 bathroom apartment set within a ported building opposite Regents Park. This apartment is ideally suited to young professionals or students due to its proximity to the West End, as well as a number of top colleges and universities ...",2,1,51.5804214,-0.1240854,N8 8TE,c7141f9d5f6aed83313a97a4b9b1a345
"Sherwood Street, London",5742,We are delighted to bring to the market this brand new one bedroom apartment to rent in this purpose built building in popular Soho.,1,2,51.5107993,-0.1356624,W1F,2fc83146443cbb9e0dce94935392dc68
"Wenham House, London",2300,"This recently refurbished, fully furnished 2-bedroom flat has been finished to an exceptional standard. Located just a 5-minute walk from the iconic Battersea Power Station, the property boasts two spacious double bedrooms, a separate reception room, a modern kitchen, and a stylish bathroom. Imma...",2,1,51.4782403,-0.1415386,SW8 4DZ,ea280abfdce1712d660c296bfb5b1daa
"Tremadoc Road, Clapham",2450,"A exceptional Victorian period conversion, set on the first floor with high ceilings throughout. This well-presented two bedroom property offers a reception room, a separate kitchen and storage space.",2,1,51.4628563,-0.131726,SW4 7NF,df73f24d177c7dc108c2c3485427ed36
"Westwood Building, Lockage Wood",4000,"Regent are proud to present this stunning two-bedroom apartment in the Westwood Building, Lockgate Road, SW6. The accommodation comprises two spacious bedrooms with built-in wardrobes, open open-plan kitchen/living area with access to the private balcony and two modern bath...",2,2,51.4766145,-0.1846161,SW6,aa4a19f703ac34d7cf99e6e894a5218b
"Hyde Park Square, Hyde Park",8498,"This well presented family home with beautiful views over Hyde Park Square is arranged over four floors consisting of four bedrooms, four bathrooms (all en-suite), reception room, dining room, kitchen, guest WC and a balcony. The house further offers a single garage forming part of the intern...",4,4,51.5139828,-0.1690013,W2,3c807b0996049cbac9f7ae4f42bfb31f
"Queens Road, London",1600,"Prestige Properties are pleased to offer to the market this top floor 1 bed apartment situated just moments away from Hendon Central Station & over looking Hendon Park. The property comprises of a double bedroom with fitted wardrobes, fully tiled bathroom with both bathtub & walk in sho...",1,1,51.5783128,-0.0241685,E17 8PY,9980679cab25fd53076d3cfe3eba1115
"North Road, Brentford",2150,"No Deposit Option Available For Tenants. A bright and spacious two double bedroom apartment located on the top floor of a modern building. Offering an open-plan reception room with access to a patio, modern kitchen featuring a breakfast bar and two good sized double bedrooms...",2,2,51.488527,-0.2973406,TW8,21b37abcd559bb2e3e8d7c02a827be99
"Newfoundland Place, London",4349,"Newfoundland is an eye catching addition to the Canary Wharf skyline, boasting 58 floors of luxury living and picturesque views. Offering an array of stylish Studio, 1 Bedroom, 2 Bedroom & 3 Bedroom Apartments, residents can enjoy high-quality living from spacious homes.",2,2,51.5042182,-0.0250777,E14,1fc96565a83dd6aeb9f84b82704eb31c
"The Ridgeway, London",1700,"newly decorated two-bedroom ground-floor flat is now available for immediate rental. Perfectly located within walking distance of Chingford Train Station and the High Road, this flat offers the ideal blend of comfort and convenience.",2,0,51.6287706,-0.0056225,E4,63a52961ff340e01924c6454fbace84d
"Yunus Khan Close, Walthamstow, London",1195,"A Bright, Modern and Recently Re-decorated Top-Floor Studio Flat This property is situated in a purpose-built development, offering a thoughtfully designed layout that maximizes both space and privacy. The property features a separate kitchen, complete with fitted appliances and ample storage...",0,1,51.5789011,-0.0196529,E17 8XB,90d74dcd341dd87ee837b9674a1eb16e
"Stapleton Hall Road, Stroud Green, London",2000,"Tatlers is delighted to offer this newly refurbished and stunning two double bedroom top floor period conversion apartment, located in the heart of Stroud Green and accessible to all High amenities and local transport including 210, W3 and W7 bus routes to Finsbury Park( Victoria Line) tube stati...",2,1,51.5746379,-0.1107594,N4,e5ac85c0b2fcb01b276d8dee78fe45fa
"Hornton Street, Kensington",3250,"A top floor two bedroom apartment located on the top floor of this striking period building. This bright and airy property boasts good volumes. Composed of one double bedroom, two bathrooms (both en-suite), fantastic reception room, separate kitchen.",2,2,51.5030541,-0.1950953,W8,4f2292c51668cfea51fc75c4ac21ac9f
Ennismore Avenue.,1950,"Top floor, two bedroom property with a separate kitchen. Located just off Chiswick High Road with both Turnham Green and Stamford Brook tubes a short walk away. Chiswick High Road is popular for its independent shops, bars and restaurants.",2,1,51.4937885,-0.2507702,W4,375312c46c09b8728475ded7846e238f
"Chiswick Village, Acton",2496,A first floor apartment set within the sought after Chiswick Village development. A private balcony is accessed via both the living room and master bedroom with two further double bedrooms and a separate kitchen completing the living accommodation. The development also benefits from a central gar...,3,1,51.4879297,-0.2794147,W4 3BY,fd26624b61bdd2dc29e72bc1d06c62a3
"Regency Court, South Woodford",1875,"A spacious, stylishly decorated, two bedroom, two bathroom, third floor apartment, handily sat next to the artisanal coffee shops, fine restaurants and friendly pubs on George Lane. The endless green expanse of Epping Forest is also nearby. South Woodford station is only a ten minute wal...",2,1,51.5951701,0.021617,E18 2JT,7b7eeb4835ba83e1ac491a67188d6808
"Upper Courtyard, 44 West Street, CARSHALTON",2200,"Silverman Black are pleased to offer to the rental market this charming clapperboard fronted three bedroom townhouse, located on a small & select private development. The property affords spacious and well-proportioned accommodation spread over three levels featuring a luxury fully integrated kit...",3,2,51.3669723,-0.1666779,SM5 2PR,ef9395fd96db54bcf06dab4320b0359c
Essex Road Islington,2750,*SHORT LET* A large One double bedroom apartment set on the first floor a secure modern development just moments from Angel and Upper Street.,1,1,51.540492,-0.0955599,N1,e9151cb39e140d0740d451e96ac2811d
"Hill Street, Mayfair, London",3727,A newly refurbished one bedroom apartment of 533 square feet.,1,1,51.5086937,-0.1484713,W1J,404c392b174073c3e900f6c849e8f5b2
"Transom Close, Surrey Quays",1600,"A modern and immaculately presented one double bedroom apartment overlooking the picturesque South Dock Marina in Surrey Quays. The property boast a naturally bright living room, a separate kitchen with plenty of storage space, the double bedroom, and a modern bathroom. The apartment has acce...",1,1,51.4929596,-0.0365663,SE16,e080d2fb50c7f5ea52566b3361389785
"Hill Street, Mayfair, London",3207,A newly refurbished one bedroom apartment of 440 square feet.,1,1,51.5086937,-0.1484713,W1J,e0b7d32da23b60edd180b3ce766a55b3
"Bunning Way, London",2700,"** ZERO DEPOSIT AVAILABLE ** AVAILABLE END OF APRIL 2025 ** Auckland Estates are pleased to offer this bright and spacious, two bedroom flat, located minutes away from Caledonian Road & Barnsbury over ground station. This ground floor flat consists of an open plan Kitchen living area, Two ...",2,1,51.5429436,-0.1198104,N7,6dc8f5a7ad39c99ebf35d60dd9f0057c
"Charlton Church Lane, Charlton, London",1950,"Lifestyle Property are delighted to offer for rent this spacious 3 bedroom flat located a short walk away from Charlton Railway Station. Split over two levels, the property consists of 3 spacious double bedrooms, separate kitchen and living area as well as a private garden. ***AVAILABLE 30th MARC...",3,0,51.4844444,0.0334846,SE7 7AG,60df13aab8024e7df4fda979110193f4
"Ensign House, Battersea Reach",2800,"Highly appealing 764ft² apartment with stylish furnishing, secure underground parking & balcony offering river views.",2,2,51.465056,-0.1834316,SW18 1TR,0fbf8fae55f148424ba795d7baa3f651
Garratt Lane Earlsfield London,2150,"Presenting to the market a two double bedroom apartment within this new gated development on Garratt Lane in Earlsfield. The property is located within a 5 minute walk to Earlsfield Mainline Station. Comprising two double bedrooms, both with access to a private balcony, a bathroom suite and an op...",2,1,51.442799,-0.1888084,SW18 4DX,607e3579e7ddf415d4cf20307f43b8b2
"Loughborough Court, Shakespeare Rd, London",1710,Key features: - Communal Garden & BBQ - Co-working space & Resident Lounge - Onsite Community Curator - Exclusive discounts for Node Residents - Packages safely stored in lockers - Pet Friendly - Secured bicycle storage - Fully Equipped Kitche...,1,1,51.464116,-0.1025749,SE24,29410b2f7d698e2a966728b7c5d3c757
"Osmington houseDorset Road,Oval, London",3727,"Students view and reserve Reiss-Samuels are delighted to offer this upper floor four double bedroom maisonette with two bathrooms in a very popular area. Located a short walk to Oval and Stockwell station offered furnished, call Reiss-Samuels today to arrange a viewing",4,2,51.4774466,-0.1182103,SW8,96d06ac6b279cbf47135185e350b180b
"Elmira Street, London",1775,"One Double Bedroom | One Bathroom | Moments Away from Lewisham DLR station | Floor to Ceiling Windows for Maximum Natural Light | Private Balcony | Local Restaurants, Bars and Grocery Stores | Regular Bus links to City, Greenwich and Canary Wharf",1,1,51.4631651,-0.0157505,SE13,70185c8d4c70d95f62b3522342f5ff9f
"George Street, London",4148,"10 George Street has redefined what renting in London should be: an uncompromising quality of service, flexible social spaces that form the heart of a close-knit community and a lifestyle built on a programme of exciting events.",2,2,51.5023211,-0.0127598,E14,204418dd1edb1d9952ba304dc1633a2d
"Wandle Road, Wandsworth Common, London",2500,"Good 2 double bedroom, 2-bathroom split-level, large light and bright flat. The top half of a Victorian terraced house in Wandle Road therefore ideal for Wandsworth Common and Tooting Bec and Balham.",2,2,51.4405217,-0.1674001,SW17,6bd7b7f2484c7445a89a84dc0e78c3e9
"New Caledonian Wharf, Rotherhithe",2300,"Generous two bedroom two bathroom apartment located in the most desirable riverside development in Rotherhithe: New Caledonian Wharf. The property boasts a spacious and naturally bright living room leading into the private balcony enjoying stunning London skyline views, a modern kitchen with ...",2,2,51.4974289,-0.0335839,SE16,86c6095143d0c614a7355098421c6542
"Richmond Road, Twickenham",1500,"A beautifully finished one bedroom apartment, situated moments from Marble Hill Park and within easy reach of Twickenham and St Margarets stations.",1,1,51.4548898,-0.3119611,TW1,64d7d9c592987b35433cff827482bc58
"Brent Street, London",1625,"Prestige Properties are pleased to offer to the market this second floor 1 bed flat located on Brent Street NW4.
The property has been finished to high standard and offer spacious double bedroom, large fitted wardrobes, double walk-in ensuite shower room, fully fitted open plan kitchen/living roo...",1,1,51.5801995,-0.209824,NW4 2PB,8e0d59b740e5b7e964297b0f095fb7b5
"The Chase, Clapham Town",1750,"A larger than average one bedroom ground floor flat situated on a sought after residential road near Clapham Common. The property benefits from secure off street parking and comprises a spacious reception room, separate kitchen and modern bathroom.",1,1,51.4644531,-0.1466759,SW4,84bffc29a86d960e1294bb9b14370c59
"Dalebury Road, London",1700,"Charming small one bedroom furnished flat with garden and garden office/storage/gym on Dalebury Road, excellent location and very close to Tooting Bec, Balham and Wandsworth Common for transport and all amenities.",1,1,51.4390303,-0.1654362,SW17,3745c91e7a9af14d48a0ac8b0a2fd730
"Pinder Road, Walthamstow, London",2600,"*AVAILABLE FOR A FAMILY OR 2 SHARERS* BRAND NEW three bedroom, two bathroom Town House located on the borders of Walthamstow Village. Be the first to live in this newly built three double bedroom house. The accommodation is spaciously spread over three floors and full of natural light. ...",3,2,51.5874234,-0.0058466,E17,21da38860a44141b2e07ea3c6ed42f74
"Grosvenor Road, Grosvenor Road",4897,"This three bedroom, three bathroom property is located in the highly desirable Pimlico and comprises of a spacious living area, separate kitchen, three bedrooms and three bathrooms. There is wooden flooring throughout and views of the Thames. There is a concierge and resident's gym in the buildin...",3,3,49.205031,-122.8342661,L15 0EY,4e778f36db5632a85e8a7c8cdefdf136
"Loughborough Court, Shakespeare Rd, London",1700,Key features: - Communal Garden & BBQ - Co-working space & Resident Lounge - Onsite Community Curator - Exclusive discounts for Node Residents - Packages safely stored in lockers - Pet Friendly - Secured bicycle storage - Fully Equipped Kitche...,1,1,51.464116,-0.1025749,SE24,dd5e4ad251b264addf6fa7e9ced255ee
"Berry Street, London",4000,A stunning two double bedroom apartment designed by prestigious architect David Chipperfield. The apartment has a spacious open plan living space with an abundance of natural sunlight. The apartment benefits from high ceilings throughout and there is plenty of built in storage. This property has ...,2,2,51.5234505,-0.1003176,EC1V,ac2bb3f48f3f873bf3d9910404da2da9
"Highbury Stadium Square, London",2145,"A bright, modern one bedroom apartment set within a secure development in Highbury Stadium Square, just minutes from Arsenal Station.",1,1,51.557356,-0.1032715,N5,3c28cf99a235a45d3c29eb14047b6da4
"Loughborough Court, Shakespeare Rd, London",1600,Key features: - Communal Garden & BBQ - Co-working space & Resident Lounge - Onsite Community Curator - Exclusive discounts for Node Residents - Packages safely stored in lockers - Pet Friendly - Secured bicycle storage - Fully Equipped Kitche...,1,1,51.464116,-0.1025749,SE24,1c81e1b654bd1af146a501c09bc9dd31
"Orde Hall Street, London",6600,"Huge, bright, nicely decorated, 4 double bed 3 shower/bath, fully furnished 1st/2nd floor flat available 1st Sept. Ideal for law firms/City LSE/UCL/Kings/Hult. Quiet street, double sized reception, huge kitchen. New central heating syste...",4,3,51.5215552,-0.1191127,WC1N,df6780b3f53d466b9079651f389f456b
"Radnor Terrace, West Kensington",3034,A tastefully presented luxury apartment set in a highly sought-after prestigious development in Kensington. The development is conveniently positioned within walking distance of Kensington Olympia (District Line) Underground and Overground station.,1,1,51.4957528,-0.2053284,W14,243368cb98e4acd7fb5f2de5d14800c4
Western Gateway,3033,"*** Please quote reference JC2309433 when contacting the office***2. Three bedroom three bathrooms apartments; looking for two female roommates, £350pw per person. For more details, please contact the office",3,3,51.5080941,0.0196766,E16,2490fb531cf46d1823f6b25952081455
Kings Avenue London,2000,"Finished to a high standard, this stunning two bedroom property is located in a well maintained, private Art Deco Building. Beautifully refurbished throughout.",2,1,51.453501,-0.1297924,SW4,baca3f338a20b13614cc2540bc509b6b
"Knaresborough Place, London ",2000,"Newly refurbished apartment between Gloucester Road and Earl’s Court. Very bright, it is set on the 5th/top floor with lift and presents a large reception/dining room with sofa bed, an open-plan kitchen, a double bedroom and a bathroom. The area is rich in amenities, shops and transport links.",1,1,51.4939569,-0.1908765,SW5 0TN,fa04d9ff3038987639f49ad172a1fe0f
"Somerford Way, Canada Water",2300,A well-kept two bedroom house with a spacious private garden in a residential area of Rotherhithe. The lower floor boasts a generous reception room with plenty of natural light and access to the private garden and a neat kitchen with plenty of storage space. The second floor features a tidy f...,2,1,51.4995647,-0.0380175,SE16,a933839ac4365182cb1073a45dd22f2b
"Forsyth Gardens, Kennington, London",3900,"Students only available from 21st August 2025 4 bedroom 2 bathroom Maisonette with a garden to the market, the property is offered furnished, set over 2 floors all bedrooms are doubles, a short walk to Kennington Tube Station. STC",4,2,51.4839683,-0.1023114,SE17,eada9b53c9ed4ce3072821498411efd3
"Radnor Terrace, West Kensington",3034,A stunning 2nd floor luxury apartment situated in one of London's most opulent developments in the heart of Kensington. The property is located nearby Kensington Olympia (District Line) underground and Overground stations which have excellent services around London.,1,1,51.4957528,-0.2053284,W14,243368cb98e4acd7fb5f2de5d14800c4
"Redcross Way, London Bridge",2747,"A highly attractive, over 700 sq ft flat, with fantastic views of the Shard and the skyline, a spacious open plan living room and kitchen, with ample room for dining, two generous double bedrooms and a family bathroom.",2,1,51.5037101,-0.0937472,SE1,1a6e30bbe4837bf1ce9dc87c1bcda038
"Green Lane, London",4500,"A substantial seven bedroom detached house located in this sought after road close off Brent Street, and all amenities in Hendon Central. The property has a lovely kosher kitchen with granite work tops open to dining room, through lounge with access to rear garden, downstairs study/office, en-sui...",7,3,51.5904256,-0.1032137,N16 9PX,1b882ec9e4f7c1b8d01356dac367d3fc
"Fulham Palace Road, London",3350,"This charming ground-floor apartment offers an exquisite blend of period features and modern comfort, set in the sought-after Bishops Park area of Fulham. The property comprises two generous double bedrooms, a good size bathroom, and a spacious, light-filled reception room adorned with original p...",2,1,51.4805992,-0.2178135,SW6,ea2f5e9211e15bf9ec295d7718235650
"Patmos Road, Vauxhall",2496,No summary available.,2,2,51.4763316,-0.1054096,SW9 6SQ,d95a28aec0d5f506c5b0c1ef06a0db30
"Tankerville Road, London,5LL",1450,"***PLEASE QUOTE LT0751 FOR ALL ENQUIRIES***
Elegant 1-Bedroom Flat on Prestigious Tankerville Road, SW16
Discover this charming 1-bedroom flat situated on the highly sought-after Tankerville Road in SW16. Arranged over 336sqft, combining contempo...",1,1,51.4174008,-0.1320286,SW16,90cf1d61b3263617759ade9521ac5ecf
"Pages Lane, London",1800,"A two bedroom apartment with off-street parking in a gated private development. The property benefits by having it's own private entrance, modern kitchen and access to communal gardens.",2,1,51.5945554,-0.147448,N10 1PU,efb48516758042edd729d2c9b0689af9
"Leyton Green Road, Leyton",1650,ONE BEDROOM MODERN DEVELOPMENT – NO DEPOSIT OPTION AVAILABLE,1,1,51.5752821,-0.0081974,E10 6BA,26ad0013c3532d5366b13ff3396a281f
"New North Road, Hoxton, London",3200,"*Alternative Deposit Option Available* This three-bedroom duplex apartment is set over the ground and first floors of this purpose-built block in Hoxton. There is a private entrance with patio, the reception room, which has generous space for lounge seating and room for dining fo...",3,1,51.5328644,-0.0873007,N1,8d64fd9cc86c52074b7fe08aa1ca93f9
Massingberd Way London,1650,"We are pleased to market this well-presented, modern apartment within the popular Heritage Park Development. Boasting one double bedroom, spacious reception room and off street parking.",1,1,51.4293313,-0.1515794,SW17,915c3d80b07321baa21edc94d224e58c
"Hill Street, Mayfair, London",3207,A newly refurbished one bedroom apartment of approximately 427 square feet.,1,1,51.5086937,-0.1484713,W1J,e0b7d32da23b60edd180b3ce766a55b3
"Water Street, London",4100,"Welcome to Canary Wharf's first pet-friendly address. Focused on wellbeing, 8 Water Street nurtures a healthy outdoor lifestyle with a low-rise character making it feel intimately connected to water, boardwalks and gardens below.",2,2,51.5028723,-0.0144318,E14,4adb568b2ab74b51ca4754a4ae1a7696
"Bloxhall Road, Leyton",1650,Available mid- April is this highly desirably two bedroom ground floor flat with private garden within easy walking distance to Lea Bridge train station. This property comes unfurnished and best suited for a single tenant or a couple wanting an extra room for home office,2,0,51.5671917,-0.0301907,E10,2c6f6c2aea7866c391f074d3237366c7
"Acton Lane, Chiswick",2297,"A split-level conversion apartment in central Chiswick that has been fully refurbished and offers a contemporary kitchen/breakfast room, a large reception with bay window, period features throughout and two double bedrooms.",2,1,51.4978659,-0.2654253,W4 5NE,aa27d31581ebec8709bd13ee181c307d
"Chiswick Village, Chiswick",1998,"This two bedroom apartment within the sought-after Chiswick Village development has just been refurbished throughout and offers a modern kitchen and bathroom, and access to communal gardens.",2,1,51.4879297,-0.2794147,W4 3BY,0400819ab14abe235bae2da22cff79be
Gorringe Park Avenue Mitcham,1550,"Located minutes away from Tooting Rail is this spacious ground floor garden flat. Comprising of one double bedroom, separate reception room, galley style kitchen and a large private garden.",1,1,51.4169857,-0.1593509,CR4,5ca5ba169cf3b3b58a32bd5cc17274cb
"Kew Bridge Road, Brentford",5997,"A beautifully presented three double bedroom duplex apartment, situated in this popular luxury development overlooking Kew Bridge. This apartment offers a modern kitchen, open-plan reception room with wood flooring and access to the terrace. There is also a modern family bathroom and three double...",3,3,51.4886951,-0.2891495,TW8,13d48f3215a2554751ef98865a8b4e46
Thurleigh Road London,2500,"Maalems are delighted to present this beautifully refurbished and elegantly spacious ground-floor period conversion, available immediately. Ideally situated just off leafy Bolingbroke Grove, this stunning home is only a short stroll from Wandsworth Common train station and the park. The ...",2,1,51.4520392,-0.158315,SW12 8UB,1ffc55ea3c6ce7c0a70538d48568ad8b
"UNCLE Elephant & Castle, 9 Churchyard Row",3320,This two bedroom apartment at UNCLE Elephant & Castle is the perfect for small families or professionals seeking extra space and luxury in the heart of London.,2,1,51.4925435,-0.102503,SE11,909e1f99844115b0f7b6cc143a449373
"Battersea, Wandsworth",1800,"Spacious flat, walking distance from Wandsworth Town and Clapham Junction Rail Stations",2,1,51.4721914,-0.1653343,SW11 3RZ,ebf4231d3448e6e0a86dd3bdb558307c
"UNCLE Elephant & Castle, 9 Churchyard Row",2600,This one bedroom apartment at UNCLE Elephant & Castle is the perfect for small families or professionals seeking extra space and luxury in the heart of London.,1,1,51.4925435,-0.102503,SE11,cc506321d8917135df37314a4e74be69
"Godwin House, One Tower Bridge, London",2947,"A stunning one bedroom apartment within one of London's most prestigious developments and location 'One Tower Bridge' As the name suggests, this development is located on Tower Bridge and offers so many restaurants, bars & transport facilities you will be spoilt for choice! This...",1,1,51.5036222,-0.0771192,SE1 2RA,b76d600f6a8f44a52a0620246320152d
"UNCLE Elephant & Castle, 9 Churchyard Row",2650,This one bedroom apartment at UNCLE Elephant & Castle is the perfect for small families or professionals seeking extra space and luxury in the heart of London.,1,1,51.4925435,-0.102503,SE11,393e29dc7e4643e453cf00ae187b6047
"Effra Parade, LONDON",1500,"**Zero Deposit Available**
This bright apartment comprises 1 double bedroom, 1 bathroom and a large reception room with fully equipped kitchen. Effra Parade is ideally situated within easy reach of the many amenities of both Brixton and Herne Hill with the green open spaces of Brockwell Pa...",1,0,51.4567625,-0.1094128,SW2 1PS,ef7340b882fac7bb3fde29614f4071d8
"Fellows Road, Swiss Cottage",2058,"Nestled in the heart of Fellows Road, this top-floor 1-bedroom flat offers a distinctive living experience in a highly sought-after location. The residence welcomes you with a comfortable and timeless ambiance, showcasing a unique blend of classic charm and practicality.",1,1,51.5441676,-0.1659483,NW3,5dc13857a0e1d2c04dcd5131c27a0cc5
"West End Lane, West Hampstead",1842,"This 1 bedroom duplex flat on West End Lane in West Hampstead is perfect for a single person or couple looking for a comfortable and stylish home. The flat is split over two floors, with the kitchen and living room located on the first floor and the bedroom and bathroom on the second floor.",1,1,51.5471648,-0.1910827,NW6,6a721c99f3ba19ec0d95418eac9a5d18
"Abbey Road, St John's Wood",1499,"A bright studio apartment on the fifth floor (with lift) of a purpose built block close to St Johns Wood Underground station. Studio room with balcony, separate kitchen and bathroom with shower over bath. Communal hot water included within the rent.",0,1,51.5354274,-0.1812017,NW8 9AY,ff247f5c3e41abb85538d88054b1e35d
"UNCLE Colindale, Ashbrook House, 2, Sanday Drive",2850,Get 4 weeks rent free now if you move in by end of March! *Select units only* A bright three bedroom apartment that’s only 22 minutes to King’s Cross with all the specs and amenities you can think of. This spacious and smartly designed flat at UNCLE Colindale is ideal for t...,3,2,51.5958836,-0.2470422,NW9,cb59863fd3237ebe0f477b304a885d08
"UNCLE Colindale, Astral House, 5, Aerial Square",2312,Get 4 weeks rent free now if you move in by end of March! *Select units only* A bright two bedroom apartment that’s only 22 minutes to King’s Cross with all the specs and amenities you can think of. This spacious and smartly designed flat at UNCLE Colindale is ideal for tho...,2,2,51.5952504,-0.2478083,NW9,b8d28f4b5aa7d15e1c1da3a5f293a878
"Empire Heights,, London",1850,This one bedroom apartment at Empire Heights is perfectly suited for individuals or couples looking for a spacious and bright home located in a stunning part of London.,1,1,51.47732329999999,-0.05013570000000001,SE14,8752d899170678888389138be8c7be35
"Iris House, Poplar Riverside, London",2500,"Two-bedroom apartment located in Poplar Riverside. With stunning views of the surrounding area, this modern space offers the perfect blend of comfort and convenience. The open-concept living area is flooded with natural light, creating a warm and inviting atmosphere. The well-appointed kitchen fe...",2,2,51.51567989999999,-0.0033125,E14,9fe5a23eb2461d204e00c662490767b2
Lancaster Gate,7302,A two bedroom/two bathroom property in this well-maintained period house. Situated close to Hyde Park and the transport links of Paddington.,2,2,51.5115793,-0.180241,W2,a76c9a2c13f351b94109719b39ad363c
"Lancaster Gate, Hyde Park",7500,A lovely spacious two bedroom period conversion apartment situated in a highly desirable location moments from Hyde Park.,2,2,51.5115793,-0.180241,W2,15f54c051ecd1394b15cb2c1a266ddda
"Heron Court, Lancaster Gate",2660,"A superbly located two bedroom apartment benefiting from excellent natural light, a close proximity to Hyde Park, a modern finish, and great views.",2,1,51.5115247,-0.1818382,W2,cb7b77907121464cfd5c115c562d2f3a
"Blackburn Road, West Hampstead",1798,"This charming 1-bedroom flat is situated on Blackburn Road, in the vibrant neighborhood of West Hampstead. The property offers a comfortable and stylish living space, ideal for individuals or couples seeking a cozy home in a sought-after location.",1,1,51.5471592,-0.1898288,NW6,8e64f2b6f82ec60314704e36fe42f8ae
"Oslo Tower, Greenland Place",2300,"Immaculate, corner unit, two double bedroom, two bathroom apartment available in the popular Greenland Place development. This modern, exceptionally bright, high spec apartment benefits from a secure allocated parking space, 24hr concierge facilities, a communal garden area and an on-site residen...",2,2,51.4909665,-0.0390064,SE8,7d9f41f3a6d85785cb7c31b43aa24fb8
"Centurion Tower, Caxton Street North, London",1900,"Discover contemporary city living in this stylish one-bedroom apartment at Centurion Tower. With modern interiors, excellent amenities, and fantastic transport links, this home is perfect for professionals or couples looking for comfort and convenience in a prime London location.",0,0,51.510988,0.012221,E16,c2c6ec2b996973b747c5c1801816ac02
"UNCLE Colindale, Appleby House, 4, Sanday Drive",1967,Get 4 weeks rent free now if you move in by end of March! *Select units only* A stunning one bedroom apartment that’s only 22 minutes to King’s Cross with all the specs and amenities you can think of. This spacious and smartly designed flat at UNCLE Colindale is ideal for t...,1,1,51.5954872,-0.2474412,NW9,87f543d6ff3df9fcee4549dd1ed154ef
"Larch Road, Cricklewood",2250,Attractive and well-presented two bedroom apartment - Own private entrance and a dedicated section of the rear garden - Modern fitted kitchen and bathroom - Wood flooring - Spacious reception room - 2 good sized bedrooms (one generous double and one smaller double) - Doubl...,2,1,51.5576562,-0.219779,NW2,41127b3115b0c6ab2d38a7c35124a855
